state,x,y
Asturias,-74,185
Alava,42,166
Avila,-32,58
Albacete,68,-19
Alicante,119,-35
Almeria,60,-92
Burgos,8,142
Barcelona,211,115
Badajos,-99,-20
Cantabria,-3,180
Castellon,141,48
Cuenca,63,35
Caceres,-81,20
Ciudad Real,6,-16
Cordoba,-35,-52
Cadiz,-71,-123
Guipuzcoa,59,177
Gerona,232,136
Guadalajara,43,68
Granada,18,-95
Huesca,131,138
Huelva,-112,-79
Islas Baleares,243,20
Jaen,23,-56
La Coruña,-152,181
Lugo,-117,170
Leon,-63,157
La Rioja,49,139
Las Palmas,-155,-181
Lerida,173,128
Madrid,8,55
Murcia,84,-60
Malaga,-34,-112
Navarra,82,157
Orense,-117,136
Pontevedra,-153,153
Soria,53,104
Salamanca,-74,71
Sevilla,-69,-84
Santa Cruz de Tenerife,-218,-170
Tarragona,164,88
Teruel,103,65
Toledo,-13,32
Vizcaya,40,182
Valladolid,-28,103
Valencia,116,3
Zamora,-65,112
Zaragoza,98,107
