,0
0,Asturias
1,Alava
2,Avila
3,Albacete
4,Almeria
5,Burgos
6,Badajos
7,Cantabria
8,Castellon
9,Cuenca
10,Caceres
11,Ciudad Real
12,Cordoba
13,Cadiz
14,Guipuzcoa
15,Gerona
16,Guadalajara
17,Granada
18,Huesca
19,Huelva
20,Islas Baleares
21,Jaen
22,La Coruña
23,Lugo
24,Leon
25,La Rioja
26,Las Palmas
27,Lerida
28,Madrid
29,Murcia
30,Malaga
31,Navarra
32,Orense
33,Pontevedra
34,Soria
35,Salamanca
36,Sevilla
37,Santa Cruz de Tenerife
38,Tarragona
39,Teruel
40,Toledo
41,Vizcaya
42,Valladolid
43,Valencia
44,Zamora
45,Zaragoza
